temp_c,umidade,pressao,co2,radiacao,label,classe
23.6,48.5,90.37,753,0.468,2,RISCO_DESPRESSURIZACAO
24.34,54.4,78.49,637,0.683,2,RISCO_DESPRESSURIZACAO
41.71,33.6,101.6,1133,0.523,1,SOBRECARGA_TERMICA
21.29,47.7,83.12,806,0.374,2,RISCO_DESPRESSURIZACAO
22.47,37.0,100.84,1020,0.35,0,NOMINAL
19.37,42.1,96.69,1365,0.383,0,NOMINAL
28.46,56.8,104.33,2605,0.394,3,AR_CRITICO
24.46,41.3,102.9,715,0.387,0,NOMINAL
24.97,62.4,101.81,2836,0.262,3,AR_CRITICO
37.62,44.0,101.16,682,0.293,1,SOBRECARGA_TERMICA
22.27,48.9,100.19,877,0.375,0,NOMINAL
13.61,34.4,86.28,785,0.355,2,RISCO_DESPRESSURIZACAO
21.53,57.9,100.73,2972,0.437,3,AR_CRITICO
32.89,38.8,99.5,624,0.275,1,SOBRECARGA_TERMICA
40.75,32.7,103.72,546,0.199,1,SOBRECARGA_TERMICA
21.52,63.2,97.83,3959,0.302,3,AR_CRITICO
44.09,32.1,93.3,1257,0.405,1,SOBRECARGA_TERMICA
20.28,75.3,100.31,2181,0.198,3,AR_CRITICO
33.27,68.4,98.53,1436,0.379,3,AR_CRITICO
23.4,52.6,100.75,742,0.354,0,NOMINAL
23.57,48.0,96.51,1015,0.294,0,NOMINAL
21.24,45.1,102.01,830,0.287,0,NOMINAL
24.44,34.5,100.45,528,0.311,0,NOMINAL
17.12,37.7,86.83,664,0.423,2,RISCO_DESPRESSURIZACAO
29.86,50.8,102.29,2551,0.371,3,AR_CRITICO
17.81,49.0,82.65,560,0.581,2,RISCO_DESPRESSURIZACAO
24.3,44.1,87.53,794,0.425,2,RISCO_DESPRESSURIZACAO
23.15,46.2,101.21,549,0.138,0,NOMINAL
36.74,23.9,99.98,1057,0.278,1,SOBRECARGA_TERMICA
22.2,41.5,98.66,806,0.382,0,NOMINAL
20.61,49.3,101.99,809,0.432,0,NOMINAL
50.56,45.5,100.4,1104,0.302,1,SOBRECARGA_TERMICA
24.04,46.5,100.74,638,0.377,0,NOMINAL
42.5,52.9,100.9,910,0.353,1,SOBRECARGA_TERMICA
22.06,53.1,101.99,2413,0.32,3,AR_CRITICO
26.23,57.6,99.85,2471,0.219,3,AR_CRITICO
46.22,42.4,101.0,1162,0.364,1,SOBRECARGA_TERMICA
24.51,36.7,101.34,691,0.489,0,NOMINAL
22.67,47.2,98.75,898,0.331,0,NOMINAL
39.21,50.7,99.0,945,0.235,1,SOBRECARGA_TERMICA
25.21,38.6,98.94,736,0.408,0,NOMINAL
21.98,58.3,100.56,2734,0.462,3,AR_CRITICO
42.65,28.1,98.34,1125,0.295,1,SOBRECARGA_TERMICA
16.05,61.2,82.47,711,0.45,2,RISCO_DESPRESSURIZACAO
34.81,38.1,98.43,972,0.106,1,SOBRECARGA_TERMICA
22.26,75.0,100.96,3038,0.327,3,AR_CRITICO
22.02,39.7,99.91,613,0.217,0,NOMINAL
47.56,37.0,98.62,434,0.32,1,SOBRECARGA_TERMICA
27.05,84.8,102.32,2122,0.356,3,AR_CRITICO
16.21,43.5,82.26,555,0.366,2,RISCO_DESPRESSURIZACAO
20.18,45.0,102.63,533,0.289,0,NOMINAL
28.77,66.4,99.7,2934,0.322,3,AR_CRITICO
28.53,58.6,103.72,2137,0.335,3,AR_CRITICO
19.37,62.1,100.0,848,0.359,0,NOMINAL
18.17,52.1,103.31,840,0.254,0,NOMINAL
19.53,38.3,95.62,727,0.475,0,NOMINAL
21.61,40.5,101.22,494,0.397,0,NOMINAL
23.49,33.1,101.56,509,0.358,0,NOMINAL
39.71,34.3,99.2,1229,0.191,1,SOBRECARGA_TERMICA
26.66,61.0,102.14,2749,0.349,3,AR_CRITICO
20.65,38.8,100.68,742,0.418,0,NOMINAL
21.74,51.3,102.65,510,0.087,0,NOMINAL
23.88,49.1,83.96,535,0.459,2,RISCO_DESPRESSURIZACAO
20.91,37.0,100.86,556,0.225,0,NOMINAL
39.39,34.3,99.51,917,0.266,1,SOBRECARGA_TERMICA
24.95,52.7,100.24,508,0.384,0,NOMINAL
43.98,16.1,100.0,792,0.329,1,SOBRECARGA_TERMICA
30.43,71.6,99.97,3450,0.469,3,AR_CRITICO
24.62,61.3,101.21,3623,0.258,3,AR_CRITICO
22.22,49.4,98.36,1481,0.217,0,NOMINAL
37.27,31.3,99.52,563,0.449,1,SOBRECARGA_TERMICA
39.23,32.9,101.93,812,0.345,1,SOBRECARGA_TERMICA
24.01,45.7,86.69,573,0.263,2,RISCO_DESPRESSURIZACAO
40.6,53.6,99.21,868,0.39,1,SOBRECARGA_TERMICA
23.89,43.4,103.28,737,0.26,0,NOMINAL
23.0,39.2,101.12,2769,0.321,3,AR_CRITICO
24.98,33.7,98.98,2788,0.411,3,AR_CRITICO
39.48,42.5,102.61,626,0.154,1,SOBRECARGA_TERMICA
26.2,52.5,102.0,3145,0.348,3,AR_CRITICO
21.43,37.2,96.88,707,0.429,0,NOMINAL
33.2,43.3,99.58,2475,0.166,3,AR_CRITICO
23.98,50.6,82.3,768,0.361,2,RISCO_DESPRESSURIZACAO
22.46,40.0,100.97,801,0.197,0,NOMINAL
12.72,43.2,82.7,350,0.483,2,RISCO_DESPRESSURIZACAO
22.09,41.6,101.87,2421,0.242,3,AR_CRITICO
24.81,56.0,101.62,848,0.179,0,NOMINAL
23.54,59.3,88.11,734,0.324,2,RISCO_DESPRESSURIZACAO
29.79,57.9,100.58,383,0.34,0,NOMINAL
20.19,47.7,86.76,501,0.36,2,RISCO_DESPRESSURIZACAO
19.54,45.7,94.47,754,0.412,2,RISCO_DESPRESSURIZACAO
25.16,51.7,102.05,3069,0.159,3,AR_CRITICO
41.49,44.1,101.15,1179,0.312,1,SOBRECARGA_TERMICA
17.17,45.8,85.26,605,0.529,2,RISCO_DESPRESSURIZACAO
22.98,31.2,99.23,947,0.214,0,NOMINAL
28.56,60.1,101.03,3573,0.296,3,AR_CRITICO
19.9,55.5,102.47,640,0.473,0,NOMINAL
33.8,39.3,93.65,1664,0.287,1,SOBRECARGA_TERMICA
18.65,39.2,102.79,776,0.191,0,NOMINAL
27.08,59.8,100.6,1667,0.442,3,AR_CRITICO
16.29,38.1,79.65,652,0.896,2,RISCO_DESPRESSURIZACAO
21.33,40.7,100.67,702,0.232,0,NOMINAL
26.42,47.5,101.15,2653,0.232,3,AR_CRITICO
17.18,25.1,88.18,736,0.784,2,RISCO_DESPRESSURIZACAO
25.5,50.1,98.87,2689,0.222,3,AR_CRITICO
29.47,73.8,101.5,2465,0.41,3,AR_CRITICO
18.41,41.1,101.09,379,0.29,0,NOMINAL
24.2,68.0,102.23,1969,0.373,3,AR_CRITICO
22.55,66.6,100.96,1973,0.486,3,AR_CRITICO
31.98,68.5,100.0,3157,0.264,3,AR_CRITICO
16.82,50.8,100.48,770,0.269,0,NOMINAL
32.78,26.8,98.8,903,0.257,1,SOBRECARGA_TERMICA
40.52,25.0,101.02,531,0.275,1,SOBRECARGA_TERMICA
21.24,37.5,100.08,731,0.172,0,NOMINAL
24.46,49.7,100.89,2693,0.132,3,AR_CRITICO
8.67,41.8,88.47,564,0.436,2,RISCO_DESPRESSURIZACAO
18.5,75.9,102.34,3691,0.425,3,AR_CRITICO
37.48,21.9,100.88,1213,0.211,1,SOBRECARGA_TERMICA
17.55,33.9,101.43,826,0.237,0,NOMINAL
31.64,30.3,103.51,545,0.333,1,SOBRECARGA_TERMICA
30.56,63.7,103.42,3392,0.465,3,AR_CRITICO
18.82,69.0,101.41,3161,0.284,3,AR_CRITICO
38.25,22.6,101.94,836,0.236,1,SOBRECARGA_TERMICA
22.09,47.3,96.4,1000,0.24,0,NOMINAL
39.58,25.0,101.76,646,0.185,1,SOBRECARGA_TERMICA
26.88,67.0,99.58,2069,0.357,3,AR_CRITICO
37.85,41.3,98.33,1224,0.449,1,SOBRECARGA_TERMICA
35.38,45.1,102.34,435,0.124,1,SOBRECARGA_TERMICA
27.48,50.1,100.62,3070,0.248,3,AR_CRITICO
35.18,30.6,98.87,516,0.472,1,SOBRECARGA_TERMICA
23.51,53.9,102.1,2247,0.329,3,AR_CRITICO
21.65,32.7,95.05,542,0.516,2,RISCO_DESPRESSURIZACAO
24.64,39.5,99.21,777,0.362,0,NOMINAL
39.13,42.5,100.13,585,0.426,1,SOBRECARGA_TERMICA
23.97,54.5,83.99,809,0.418,2,RISCO_DESPRESSURIZACAO
27.11,47.3,99.96,1674,0.299,3,AR_CRITICO
41.96,23.7,100.96,622,0.204,1,SOBRECARGA_TERMICA
33.78,44.9,98.99,597,0.31,1,SOBRECARGA_TERMICA
21.1,68.1,102.86,2963,0.314,3,AR_CRITICO
20.72,66.4,100.1,817,0.097,0,NOMINAL
21.61,33.8,100.24,534,0.284,0,NOMINAL
22.34,59.6,79.07,915,0.47,2,RISCO_DESPRESSURIZACAO
27.27,63.5,97.58,4004,0.232,3,AR_CRITICO
13.42,41.8,85.57,573,0.44,2,RISCO_DESPRESSURIZACAO
37.27,36.5,102.11,837,0.307,1,SOBRECARGA_TERMICA
21.53,33.5,102.87,631,0.119,0,NOMINAL
28.31,60.1,101.0,2653,0.409,3,AR_CRITICO
42.2,21.3,98.17,1051,0.509,1,SOBRECARGA_TERMICA
14.34,42.8,87.56,902,0.581,2,RISCO_DESPRESSURIZACAO
27.26,79.7,99.46,3299,0.274,3,AR_CRITICO
19.91,34.7,101.04,776,0.466,0,NOMINAL
46.22,27.1,95.67,1738,0.252,1,SOBRECARGA_TERMICA
21.68,66.2,89.72,826,0.261,2,RISCO_DESPRESSURIZACAO
16.78,46.5,85.58,953,0.294,2,RISCO_DESPRESSURIZACAO
21.01,59.3,101.5,823,0.419,0,NOMINAL
21.0,43.5,89.71,600,0.54,2,RISCO_DESPRESSURIZACAO
13.22,49.2,89.19,489,0.923,2,RISCO_DESPRESSURIZACAO
54.82,22.5,96.34,1327,0.277,1,SOBRECARGA_TERMICA
15.08,43.9,89.99,543,0.074,2,RISCO_DESPRESSURIZACAO
26.3,66.3,100.95,3070,0.277,3,AR_CRITICO
21.95,70.5,101.12,3002,0.42,3,AR_CRITICO
38.86,39.3,101.8,706,0.376,1,SOBRECARGA_TERMICA
47.69,41.9,103.44,1027,0.338,1,SOBRECARGA_TERMICA
40.33,32.7,101.84,642,0.497,1,SOBRECARGA_TERMICA
23.11,54.0,100.99,2813,0.274,3,AR_CRITICO
22.61,53.3,102.09,582,0.383,0,NOMINAL
20.23,59.1,99.61,621,0.201,0,NOMINAL
22.69,59.8,99.93,2447,0.402,3,AR_CRITICO
18.95,46.4,100.26,1345,0.405,0,NOMINAL
20.94,40.2,98.4,1049,0.413,0,NOMINAL
28.48,32.6,102.02,944,0.452,1,SOBRECARGA_TERMICA
11.83,54.7,89.59,886,0.436,2,RISCO_DESPRESSURIZACAO
34.18,40.0,98.67,1176,0.442,1,SOBRECARGA_TERMICA
28.1,51.7,99.43,3359,0.249,3,AR_CRITICO
41.58,44.7,99.74,371,0.361,1,SOBRECARGA_TERMICA
20.85,49.6,100.19,737,0.347,0,NOMINAL
21.69,29.7,101.27,775,0.109,0,NOMINAL
36.73,27.5,97.33,2163,0.338,1,SOBRECARGA_TERMICA
18.34,34.7,87.37,706,0.675,2,RISCO_DESPRESSURIZACAO
11.35,44.1,83.51,638,0.698,2,RISCO_DESPRESSURIZACAO
14.97,55.7,83.76,1006,0.513,2,RISCO_DESPRESSURIZACAO
45.27,46.5,99.99,618,0.282,1,SOBRECARGA_TERMICA
39.43,48.4,99.54,1080,0.423,1,SOBRECARGA_TERMICA
43.45,55.8,96.04,1398,0.32,1,SOBRECARGA_TERMICA
20.08,34.7,100.81,839,0.408,0,NOMINAL
25.78,63.3,99.05,2993,0.251,3,AR_CRITICO
25.94,59.1,97.93,2932,0.166,3,AR_CRITICO
28.49,47.2,100.74,857,0.389,1,SOBRECARGA_TERMICA
16.75,48.8,83.95,1059,0.325,2,RISCO_DESPRESSURIZACAO
25.62,41.6,98.55,636,0.301,0,NOMINAL
29.4,32.3,100.92,1066,0.408,1,SOBRECARGA_TERMICA
25.9,33.5,100.94,532,0.05,0,NOMINAL
20.32,56.7,100.18,1171,0.18,0,NOMINAL
17.69,55.1,96.25,730,0.916,2,RISCO_DESPRESSURIZACAO
18.25,51.6,99.95,540,0.407,0,NOMINAL
24.71,55.7,101.45,2681,0.364,3,AR_CRITICO
43.74,33.8,101.51,631,0.191,1,SOBRECARGA_TERMICA
